SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][Ring1][C][#N][Branch1][Branch1][C][C][C][C][C][N][N][=C][N][=C][Ring1][Branch1],4.96,4.96
[C][=C][C][=Branch2][Ring1][Ring2][=C][C][=C][Ring1][=Branch1][C][C][Branch1][#Branch2][C][N][C][C][C][C][C][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C],5.49,5.49
[Cl][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][Branch2][\C][=Branch1][Ring2][=N][\C][#N][C][C],3.48,3.48
[Cl][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring1][P][Cl],6.1,6.1
[C][C][Branch1][C][C][Branch1][C][C][C][=N][N][C][=Branch1][=Branch1][=N][C][Ring1][=Branch1][=O][S][C],3.76,3.76
[N][=Branch1][=N][=C][Branch1][=Branch2][N][=C][N][C][Branch1][C][C][C][O][C][=Branch1][Ring2][=N][Ring1][Branch2][N][C][Branch1][C][C][C],3.04,3.04
[N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][Branch2][Ring1][C][N][Branch1][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=N][C][Ring1][#C][=O][C][=O],2.98,2.98
[C][C][=C][Branch1][#Branch1][N][C][Branch1][C][H][=O][C][=C][C][Branch1][C][C][=C][Ring1][O],3.47,3.47
[C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=N][N][N][=N][Ring1][Branch1],5.32,5.32
[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=N][Ring1][=Branch2],2.99,2.99
[O][=C][Branch2][Ring1][=C][O][C][C][Branch2][Ring1][=Branch1][O][C][N][C][N][\C][=Branch1][=N][=N][/C][=Branch1][C][=O][C][=Ring1][#Branch1][N][=C][Ring1][#Branch2][N][C][O][C@@H1][Branch1][C][N][C][Branch1][C][C][C],3.59,3.59
[O][=C][Branch2][Ring1][Branch1][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][N][Branch1][Ring1][C][C][C],4.12,4.12
[F][C][\C][=Branch2][Ring1][#Branch2][=N][/C][=Branch1][C][=O][N][Branch1][Ring2][C][=Ring1][#Branch1][C@@H1][O][C@@H1][Branch1][=Branch2][C@@H1][Branch1][C][O][C@H1][Ring1][=Branch1][O][C][\N][C][=Branch1][C][=O][O][C][C][C][C][C],4.24,4.24
[O][=C][Branch2][Ring1][Ring1][O][C][N][C][=Branch1][C][=O][C][N][Branch1][Branch1][C][Ring1][=Branch1][=O][C][C][#C][C][C][Branch1][#Branch1][\C][=C][Branch1][C][/C][C][C][Ring1][#Branch1][Branch1][C][C][C],4.55,4.55
[C][#C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.25,3.25
[C][N][Branch1][C][C][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],4.42,4.42
[O][Branch2][Ring1][#Branch2][C][=C][C][Branch1][#Branch2][N][C][Branch1][C][C][C][C][C][N][=C][N][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][P][C],4.57,4.57
[C][C][Branch1][C][C][C][N][Branch2][Ring2][Branch1][C][C][Branch2][Ring1][#C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][O][C][C][Ring1][Branch1][C][C][O][Ring1][Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],5.51,5.51
[C][C][=Branch1][C][=O][O][C][C][Branch2][Ring1][Branch2][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Branch1][C][Ring1][O][=O][C][C][N][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C],5.51,5.51
[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][O][C][C][N][Branch1][C][C][C],3.63,3.63
[C][=C][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],5.44,5.44
[C][C][=N][C][=C][N][Ring1][Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=Branch1][Branch1][=N][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][F],6.36,6.36
[C][C][C][C][Branch1][Branch2][C][=Branch1][C][=O][O][C][C][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch2][C][=Branch1][C][=O][O],4.96,4.96
[C][C][=C][C][=Branch1][P][=C][C][=Branch1][N][=C][Ring1][=Branch1][C][C][=N][C][C][N][Ring1][Branch1][C][C][Branch1][C][C][Branch1][C][C][C],5.07,5.07
[O][=C][Branch1][Ring2][O][C][C][C][C][N][Branch2][Ring1][C][S][N][Branch1][=N][C][=Branch1][C][=O][O][\N][=C][Branch1][Ring1][/S][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],4.77,4.77
[S][Branch2][Ring1][=Branch1][C][=N][C][=Branch1][=C][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][Branch1][C][C][C][N][C][C][C],4.11,4.11
[O][=C][Branch2][Ring1][#Branch2][N][Branch1][=N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],5.38,5.38
[C][=C][C][=Branch2][Ring1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][O][N][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][C][=Branch1][Ring2][=C][Ring1][#Branch1][Br][Br],6.67,6.67
[C][=C][Branch1][Branch2][O][C][Branch1][Ring1][N][C][=O][C][=C][C][=C][Ring1][O][C][=C][C][=C][Ring1][#C],4.34,4.34
[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][/C][=Branch1][Ring1][=C][\Cl][/C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl],6.18,6.18
[Cl][C][=C][C][Branch1][Ring1][C][#N][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][O],4.13,4.13
[O][=P][Branch1][Branch2][O][\C][=C][Branch1][C][/Cl][Cl][Branch1][Ring1][O][C][O][C],4.8,4.8
[O][=C][O][C][Branch1][P][C][=Branch1][C][=O][N][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][C],6.01,6.01
[O][=P][Branch1][Branch2][S][C][Branch1][Ring1][C][C][C][Branch1][Ring2][O][C][C][N][C][=Branch1][C][=O][S][C][C][Ring1][=Branch1],4.3,4.3
[O][=C][N][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring1][\S][C][=N][/C@][Ring1][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C],5.43,5.43
[Cl][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][\C][=Branch1][=Branch1][=N][/C][C][Ring1][Branch1][N],3.62,3.62
[O][=C][N][Branch1][#C][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][C][=Branch1][C][=O][C][N][Ring1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][C],5.43,5.43
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][Branch1][O][C][C][#C][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][Branch1][Branch1][O][C][C][#C][C][Branch1][Ring1][O][C][=C][Ring1][N],4.92,4.92
[N][=C][Branch1][Ring2][C][#C][C][C][=C][Branch1][=C][N][=C][Ring1][=Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C],5.04,5.04
[O][=C][Branch2][Ring1][Ring1][C][=C][Branch1][Ring1][O][C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][O][C][C][C][C][N][C][C][C][C][Ring1][Branch1],4.23,4.23
[C][=C][C][=Branch2][Ring1][=Branch2][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][S][C@@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl][O][N+1][=Branch1][C][=O][O-1],4.18,4.18
[Cl][/C][Branch1][C][Cl][=C][/C][C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N][C][Ring2][Ring1][Ring2][Branch1][C][C][C],7.11,7.11
[O][=C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][C][C][Ring1][=Branch2],2.37,2.37
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],5.19,5.19
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Branch1][C][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][O][C][=Ring1][#Branch1][O][C][=C][C][=C][Ring1][=Branch2][C][C][=Branch1][C][=O][C],5.93,5.93
[O][=C][Branch1][C][C][C][C][Branch2][Ring1][Branch1][C][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][O][C][=Ring1][#Branch1][O][C][=C][C][=C][Ring1][=Branch2][C][O][C][=C][C][=Ring1][Branch1],6.16,6.16
[O][=C][Branch1][=Branch1][O][C][C][C][C][C][Branch2][Ring1][S][O][C][=C][C][=C][Branch2][Ring1][Ring2][O][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][P][C],5.89,5.89
[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],4.96,4.96
[C][Branch1][P][O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][=C][Branch1][#Branch2][C][=C][Branch1][C][Cl][C][=C][Ring1][P][Cl],6.45,6.45
[O-1][N+1][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][=Branch1][=C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][=Branch2][N][Branch1][Ring2][C][C][C][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][N],4.66,4.66
[O][=C][O][C][C][N][Ring1][Branch1][N][Branch1][Branch2][C][=Branch1][C][=O][C][O][C][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C],3.54,3.54
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O],4.63,4.63
[Cl][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][Branch1][N][C][C][Ring1][Ring1][Branch1][Branch1][C][Ring1][#Branch1][=O][C][C],5.0,5.0
[O][=C][C][=C][Branch2][Ring1][#Branch2][O][C][Branch1][C][/O][=C][\/Ring1][#Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][C][=C][C][=C][Ring2][Ring1][Branch1],5.91,5.91
[O][=C][C][=N][C][=C][N][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring1][O][C][C],2.27,2.27
[O][=P][Branch1][C][O][Branch1][C][O][C][O][C@H1][Branch1][C][C][C][N][C][=N][C][=N][C][=Branch1][Branch2][=C][Ring1][=Branch1][N][=C][Ring1][=Branch2][N],2.44,2.44
[F][C][\C][=Branch2][Ring1][#Branch1][=N][/C][=Branch1][C][=O][N][Branch1][Ring2][C][=Ring1][#Branch1][C@H1][O][C@H1][Branch1][Branch1][S][C][Ring1][Branch1][C][O][\N],3.13,3.13
[Cl][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Branch1][Ring2][C][C][C][C][N][N][=C][N][=C][Ring1][Branch1],5.48,5.48
[O-1][N+1][=Branch1][C][=O][N][C][=Branch1][Ring1][=N][/C][\N][C][C][C][C][O][C][Ring1][Branch1],4.47,4.47
[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C],3.16,3.16
[O][=C][Branch2][Ring1][#Branch2][N][Branch1][=N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][C][O][C][=C][C][=Ring1][Branch1],5.81,5.81
[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][=C][Branch1][C][Cl][C][C][=C][C][C][Ring1][Branch2][Ring1][Branch1],4.18,4.18
[S][=P][Branch1][P][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O][Branch1][Ring2][O][C][C][O][C][C],5.54,5.54
[O-1][N+1][=Branch1][C][=O][C][=C][Branch2][Ring1][#Branch2][C][=Branch2][Ring1][Branch1][=C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][=Branch2][N][C][Branch1][Ring1][C][C][C][C][C][C],6.57,6.57
[Cl][C][C][=Branch1][C][=O][N][Branch1][#C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][O][C][C][C],4.96,4.96
[O][=C][O][C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][=Branch1][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Branch1][Ring1][\C][=C][C],5.71,5.71
[F][C][\C][=N][/C][=Branch1][C][=O][N][C][=Ring1][#Branch1][N],2.19,2.19
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=Branch1][Branch1][=C][Ring1][O][C][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O],6.31,6.31
[O][=C][Branch1][=C][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][Branch1][C][C][C][C][C][C][Ring1][#Branch1],3.96,3.96
[C][C][=C][C][Branch1][=N][O][C][C][C][N][C][=Branch1][C][=O][O][Ring1][=Branch1][=C][C][Branch1][C][C][=C][Ring1][#C],4.16,4.16
[O][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][\C][=C][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C],4.23,4.23
[C][C][Branch1][C][C][C][C@H1][Branch1][Ring1][C][N][C][C][Branch1][C][O][=O],3.38,3.38
[S][=C][Branch2][Ring1][C][O][C][=C][C][=C][C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][#Branch2][N][Branch1][N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C],6.38,6.38
[O][=S][=Branch1][C][=O][Branch1][C][N][C][C][=N][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2],3.49,3.49
[O][=S][=Branch1][C][=O][Branch1][C][N][C][=C][Branch1][C][Cl][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O],3.77,3.77
[O][=C][/N][=C][\N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@@H1][Branch1][Branch1][C][C][Ring1][Branch1][C][O],3.68,3.68
[C][C][=C][Branch2][Ring1][=Branch2][C][=C][N][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][C][Branch1][C][F][Branch1][C][F][F],4.76,4.76
[O][=C][Branch1][O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][Branch1][N][C][C][C][C],4.16,4.16
[O][=C][Branch2][Ring1][#Branch1][C][N][=N][N][Branch1][Ring2][C][=Ring1][Branch1][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][N],3.79,3.79
[O][=S][=Branch1][C][=O][Branch2][Ring1][#Branch1][C][=C][Branch1][=N][N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][=C][N][=C][Ring1][=C][N][C][=Branch1][C][=O][N][C][Branch1][C][C][C],4.73,4.73
[O][=C][Branch1][C][N][C][N][C][C][C][Ring1][Branch1],2.08,2.08
[N][C][Branch1][C][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][Branch2][C][Ring1][#Branch1][C][Ring1][#Branch2],4.77,4.77
[N][Branch1][Branch1][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C],4.91,4.91
[N][C][Branch1][C][C][C][C][C][C][C],3.56,3.56
[O][=C][Branch1][C][N][C][C][C][N][C][C][Ring1][=Branch1],1.58,1.58
[O][=C][Branch1][#C][O][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][O][C][Branch1][C][C][Branch1][C][C][C],5.15,5.15
[O][=C][Branch2][Ring1][C][N][C][=N][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=N][Ring1][#Branch2][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C],2.95,2.95
[C][Branch1][Branch2][C][Branch1][Ring2][O][C][C][=O][=N][O][C][Branch1][Ring2][C][Ring1][#Branch2][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],4.61,4.61
[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][N][/N][=C][Branch1][Branch2][/C][=Branch1][C][=O][O][C][C][C][C][Ring1][#Branch2][Branch1][Branch2][C][=Branch1][C][=O][O][C][C][C],5.31,5.31
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][Branch1][C][O][Branch1][N][C][Branch1][Branch1][C][C][Ring1][=Branch1][Branch1][C][C][C][C][N][N][=C][N][=C][Ring1][Branch1],4.96,4.96
[Cl][C][=C][C][=Branch2][Ring1][O][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][Branch1][Ring2][O][C][C][=C][Ring1][N][C][Branch1][C][F][Branch1][C][F][F],6.59,6.59
[Cl][C][=C][C][Branch1][#C][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][#C][Branch1][C][C][C][=C][C][Branch1][C][Cl][=C][Ring1][#C],4.76,4.76
[O][=C][Branch2][Ring2][C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][C][O][C][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][C][C][=Branch1][C][=O][C][C][C][C][Ring1][#Branch1][=O],5.64,5.64
[C][C][/C][=Branch1][#Branch1][=N][\O][C][\C][=C][\Cl][/C][C][=Branch1][C][=O][C][C][Branch1][=Branch1][C][C][=Ring1][#Branch1][O][C][C][C][O][C][C][Ring1][=Branch1],4.98,4.98
[O][=C][Branch1][Ring1][O][C][C][=C][C][=C][C][=Branch2][Ring2][=N][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=N][C][=Branch2][Ring1][C][=N][C][Branch1][O][O][C][C][Branch1][C][F][Branch1][C][F][F][=N][Ring1][N][N][Branch1][C][C][C][C],5.01,5.01
[N][=N][N][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][O][C],3.34,3.34
[C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][N][=N][NH1][Ring1][#Branch2],3.72,3.72
[O][C][=C][N][=N][NH1][Ring1][Branch1],3.42,3.42
[O][=C][Branch2][Ring1][Ring2][N][Branch1][Ring1][C][C][C][Branch1][#Branch2][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][/C][=C][/C],4.4,4.4
[S][=C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2],4.08,4.08
[O][=C][Branch1][#Branch2][S][C][C][C][C][C][C][C][C][O][C][=C][C][Branch1][C][Cl][=N][N][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],7.9,7.9
[O][=S][=Branch1][C][=O][Branch2][Ring2][=Branch1][N][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][Branch2][Ring1][Ring1][N][/N][=C][Branch1][=N][\N][Branch1][Branch1][C][Ring1][Branch1][=O][C][Branch1][C][F][F][C][=C][Ring2][Ring1][C][C],6.0,6.0
[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=N][S][N][=C][Ring1][Branch1][N][C][C][O][C][C][Ring1][=Branch1],3.34,3.34
[C][S][C][NH1][C][=C][C][=Branch2][Ring1][Branch2][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][N][=Ring1][=Branch2][O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl],7.71,7.71
[O][=C][Branch1][#Branch1][/N][=C][Branch1][C][\N][N][N],2.33,2.33
[C][N+1][Branch1][C][C][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][O-1],3.44,3.44
[C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=N][Ring1][S],3.46,3.46
[C][=C][Branch2][Ring1][N][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][N],3.5,3.5
[C][=C][C][=Branch1][=C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl],3.32,3.32
[C][=C][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl],2.87,2.87
[C][N+1][Branch1][Ring2][C][C][#C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O-1],2.74,2.74
[C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][C][N][C][C][O][C][C][Ring1][=Branch1],4.37,4.37
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][C][N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring1][Ring1][=Branch1],4.43,4.43
[C][N+1][Branch2][Ring1][N][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][C][Ring2][Ring1][Ring1][O-1],3.85,3.85
[C][C][N+1][Branch1][Ring1][C][C][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][O-1],2.92,2.92
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][C][C][C][N][Ring1][Branch1],2.82,2.82
[C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][#C],3.7,3.7
[C][C][C][=C][N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][S][Ring1][#Branch1],4.26,4.26
[C][C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][C@H1][C][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][N][=N+1][=N-1],3.07,3.07
[C][=N][C][=C][Branch1][=N][N][Ring1][Branch1][C][C][C][Branch1][Ring1][C][O][C][O][N][=C][Branch1][=Branch1][N][C][Ring1][=C][=O][N],2.62,2.62
[C][C][Branch2][Ring1][P][C@H1][C][C][C@@H1][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],5.69,5.69
[C][C][C][Branch1][N][C][C][C][C][N][Branch1][Ring2][C][Ring1][#Branch1][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O],4.32,4.32
[C][C][C][Ring1][Ring1][C][#C][C@][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N][C][=Branch1][C][=O][O][Ring1][N][C][Branch1][C][F][Branch1][C][F][F],6.2,6.2
[C][C][Branch2][Ring1][Ring2][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][C][C][Ring1][=Branch1],5.63,5.63
[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][C][C][N][O][O],2.84,2.84
[C][C][C][C][N][C][C][C][C][C][Ring1][=Branch1][/C][=Branch1][=C][=N][/C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][/O],4.79,4.79
[C][C][N][Branch1][=N][C][C][N][Ring1][=Branch1][C][C][Branch1][Ring1][C][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1],2.5,2.5
[O-1][N+1][Branch1][C][C][Branch1][C][C][C][C@H1][C][C][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],2.71,2.71
